Time,ped_n,ped_e,ego_n,ego_e,Velocity,ObjectAbsVel,flag,left_e,left_n,right_e,right_n
1626226114086.0,-78.448974609375,-48.13058471679688,-0.9600456953048706,-0.4758413434028626,0.3680555555555556,0.7360284974781627,10.0,136.83531552072478,558.1460578692418,138.5177517037907,560.8278632781287
1626226114185.0,-78.3498306274414,-48.33958053588867,-0.8092491030693054,-0.3738066554069519,0.3641975308641976,0.8092826553399863,10.0,136.83531552072478,558.1460578692418,138.5177517037907,560.8278632781287
1626226114282.0,-78.25068664550781,-48.54857635498047,-0.6761075258255005,-0.3166510164737701,0.3580246913580247,0.8852112023154562,10.0,136.83531552072478,558.1460578692418,138.5177517037907,560.8278632781287
1626226114385.0,-78.15155029296875,-48.75757217407226,-0.5756237506866455,-0.2401220947504044,0.353395061728395,0.9627648271211252,10.0,136.83531552072478,558.1460578692418,138.5177517037907,560.8278632781287
1626226114500.0,-78.05240631103516,-48.96656799316406,-0.4679382145404816,-0.17149977385997772,0.3464506172839506,0.7762448473927943,10.0,136.83531552072478,558.1460578692418,138.5177517037907,560.8278632781287
1626226114560.0,-77.97016906738281,-49.072059631347656,-0.3896281719207764,-0.11538825184106828,0.3464506172839506,1.058761933597719,10.0,136.83531552072478,558.1460578692418,138.5177517037907,560.8278632781287
1626226114701.0,-77.89911651611328,-49.0195541381836,-0.2363403141498565,-0.019488990306854248,0.3348765432098765,1.034143230120348,10.0,136.83531552072478,558.1460578692418,138.5177517037907,560.8278632781287
1626226114783.0,-77.8385238647461,-49.2670783996582,-0.1653490662574768,0.023003695532679558,0.3294753086419753,1.0581596797371358,10.0,136.83531552072478,558.1460578692418,138.5177517037907,560.8278632781287
1626226114881.0,-77.7779312133789,-49.51460266113281,-0.056579869240522385,0.0848628506064415,0.32253086419753085,1.025205045269438,10.0,136.83531552072478,558.1460578692418,138.5177517037907,560.8278632781287
1626226115001.0,-77.6602783203125,-49.61817169189453,0.043676186352968216,0.1528366208076477,0.31558641975308643,1.0588889147965936,10.0,136.83531552072478,558.1460578692418,138.5177517037907,560.8278632781287
1626226115103.0,-77.54263305664062,-49.72173690795898,0.13239161670207975,0.213523343205452,0.30864197530864196,1.0964093486006206,10.0,136.83531552072478,558.1460578692418,138.5177517037907,560.8278632781287
1626226115199.0,-77.42498016357422,-49.8253059387207,0.23188215494155884,0.2778275012969971,0.3032407407407408,1.143876902192856,10.0,136.83531552072478,558.1460578692418,138.5177517037907,560.8278632781287
